id	lg_id	name	code	province_id	district_id	_LEGACY_old_lg_id	centroid
LG-11001	LG-11001	Colombo MC	001	LK-1	LK-11	LG-11001	[6.921082, 79.866104]
LG-11002	LG-11002	Dehiwala Mount Lavinia MC	002	LK-1	LK-11	LG-11010	[6.839296, 79.877437]
LG-11003	LG-11003	Sri Jayawardenepura Kotte MC	003	LK-1	LK-11	LG-11009	[6.891056, 79.898758]
LG-11004	LG-11004	Moratuwa MC	004	LK-1	LK-11	LG-11011	[6.782673, 79.891096]
LG-11005	LG-11005	Kaduwela MC	005	LK-1	LK-11	LG-11004	[6.903622, 79.978318]
LG-11006	LG-11006	Kollonnawa UC	006	LK-1	LK-11	LG-11002	[6.93847, 79.888101]
LG-11007	LG-11007	Seethawakapura UC	007	LK-1	LK-11	LG-11007	[6.953717, 80.200385]
LG-11008	LG-11008	Maharagama UC	008	LK-1	LK-11	LG-11008	[6.856942, 79.942632]
LG-11009	LG-11009	Kesbewa UC	009	LK-1	LK-11	LG-11013	[6.795685, 79.933953]
LG-11010	LG-11010	Boralesgamuwa UC	010	LK-1	LK-11	LG-11012	[6.839184, 79.902693]
LG-11011	LG-11011	Kotikawatta Mulleriyawa PS	011	LK-1	LK-11	LG-11003	[6.933489, 79.9224]
LG-11012	LG-11012	Seethawaka PS	012	LK-1	LK-11	LG-11006	[6.88498, 80.136787]
LG-11013	LG-11013	Homagama PS	013	LK-1	LK-11	LG-11005	[6.831278, 80.022395]
LG-12014	LG-12014	Negombo MC	014	LK-1	LK-12	LG-12001	[7.213224, 79.844835]
LG-12015	LG-12015	Gampaha MC	015	LK-1	LK-12	LG-12013	[7.092609, 80.023639]
LG-12016	LG-12016	Wattala Mabola UC	016	LK-1	LK-12	LG-12009	[6.989437, 79.893988]
LG-12017	LG-12017	Katunayaka Seeduwa UC	017	LK-1	LK-12	LG-12003	[7.155487, 79.878402]
LG-12018	LG-12018	Minuwangoda UC	018	LK-1	LK-12	LG-12007	[7.170673, 79.951487]
LG-12019	LG-12019	Ja Ela UC	019	LK-1	LK-12	LG-12011	[7.072181, 79.887066]
LG-12020	LG-12020	Peliyagoda UC	020	LK-1	LK-12	LG-12018	[6.962824, 79.889269]
LG-12021	LG-12021	Wattala PS	021	LK-1	LK-12	LG-12008	[7.038927, 79.879816]
LG-12022	LG-12022	Katana PS	022	LK-1	LK-12	LG-12002	[7.206471, 79.893118]
LG-12023	LG-12023	Divulapitiya PS	023	LK-1	LK-12	LG-12004	[7.254006, 80.007356]
LG-12024	LG-12024	Mirigama PS	024	LK-1	LK-12	LG-12005	[7.224957, 80.123625]
LG-12025	LG-12025	Minuwangoda PS	025	LK-1	LK-12	LG-12006	[7.154431, 79.979446]
LG-12026	LG-12026	Attanagalla PS	026	LK-1	LK-12	LG-12014	[7.114604, 80.110002]
LG-12027	LG-12027	Gampaha PS	027	LK-1	LK-12	LG-12012	[7.061558, 79.980074]
LG-12028	LG-12028	Ja Ela PS	028	LK-1	LK-12	LG-12010	[7.071591, 79.911966]
LG-12029	LG-12029	Mahara PS	029	LK-1	LK-12	LG-12016	[7.02963, 80.015565]
LG-12030	LG-12030	Dompe PS	030	LK-1	LK-12	LG-12015	[6.990666, 80.099049]
LG-12031	LG-12031	Biyagama PS	031	LK-1	LK-12	LG-12019	[6.968969, 79.978067]
LG-12032	LG-12032	Kelaniya PS	032	LK-1	LK-12	LG-12017	[6.971713, 79.914225]
LG-13033	LG-13033	Panadura UC	033	LK-1	LK-13	LG-13002	[6.713631, 79.911861]
LG-13034	LG-13034	Horana UC	034	LK-1	LK-13	LG-13005	[6.715514, 80.065364]
LG-13035	LG-13035	Kalutara MC	035	LK-1	LK-13	LG-13010	[6.578239, 79.965074]
LG-13036	LG-13036	Beruwala UC	036	LK-1	LK-13	LG-13012	[6.470133, 79.98477]
LG-13037	LG-13037	Panadura PS	037	LK-1	LK-13	LG-13001	[6.716223, 79.925242]
LG-13038	LG-13038	Bandaragama PS	038	LK-1	LK-13	LG-13003	[6.718942, 79.975337]
LG-13039	LG-13039	Horana PS	039	LK-1	LK-13	LG-13004	[6.760392, 80.100365]
LG-13040	LG-13040	Madurawala PS	040	LK-1	LK-13	LG-13007	[6.649362, 80.095827]
LG-13041	LG-13041	Bulathsinhala PS	041	LK-1	LK-13	LG-13006	[6.648438, 80.175247]
LG-13042	LG-13042	Mathugama PS	042	LK-1	LK-13	LG-13014	[6.48838, 80.090754]
LG-13043	LG-13043	Dodangoda PS	043	LK-1	LK-13	LG-13013	[6.570909, 80.046101]
LG-13044	LG-13044	Kalutara PS	044	LK-1	LK-13	LG-13009	[6.623303, 79.972627]
LG-13045	LG-13045	Beruwala PS	045	LK-1	LK-13	LG-13011	[6.490261, 80.006187]
LG-13046	LG-13046	Palindanuwara PS	046	LK-1	LK-13	LG-13016	[6.50599, 80.273869]
LG-13047	LG-13047	Agalawaththa PS	047	LK-1	LK-13	LG-13015	[6.514771, 80.174664]
LG-13048	LG-13048	Millaniya PS	048	LK-1	LK-13	LG-13008	[6.658413, 80.031844]
LG-13049	LG-13049	Walallawita PS	049	LK-1	LK-13	LG-13017	[6.407344, 80.186866]
LG-21050	LG-21050	Kandy MC	050	LK-2	LK-21	LG-21006	[7.291316, 80.630641]
LG-21051	LG-21051	Wattegama UC	051	LK-2	LK-21	LG-21005	[7.351229, 80.678676]
LG-21052	LG-21052	Kadugannawa UC	052	LK-2	LK-21	LG-21015	[7.261433, 80.534785]
LG-21053	LG-21053	Gampola UC	053	LK-2	LK-21	LG-21019	[7.168177, 80.56557]
LG-21054	LG-21054	Nawalapitiya UC	054	LK-2	LK-21	LG-21022	[7.045448, 80.541417]
LG-21055	LG-21055	Thumpane PS	055	LK-2	LK-21	LG-21001	[7.34677, 80.495324]
LG-21056	LG-21056	Harispattuwa PS	056	LK-2	LK-21	LG-21013	[7.328293, 80.587523]
LG-21057	LG-21057	Akurana PS	057	LK-2	LK-21	LG-21003	[7.390799, 80.618482]
LG-21058	LG-21058	Poojapitiya PS	058	LK-2	LK-21	LG-21002	[7.4005, 80.566051]
LG-21059	LG-21059	Pathadumbara PS	059	LK-2	LK-21	LG-21004	[7.348872, 80.65797]
LG-21060	LG-21060	Panwila PS	060	LK-2	LK-21	LG-21007	[7.409712, 80.740644]
LG-21061	LG-21061	Udadumbara PS	061	LK-2	LK-21	LG-21008	[7.329839, 80.875336]
LG-21062	LG-21062	Minipe PS	062	LK-2	LK-21	LG-21009	[7.346838, 80.949926]
LG-21063	LG-21063	Medadumbara PS	063	LK-2	LK-21	LG-21010	[7.302596, 80.800277]
LG-21064	LG-21064	Kundasale PS	064	LK-2	LK-21	LG-21011	[7.305342, 80.709708]
LG-21065	LG-21065	Pathahewaheta PS	065	LK-2	LK-21	LG-21018	[7.21207, 80.704519]
LG-21066	LG-21066	Kandy Four Gravets And Gangawata Korale PS	066	LK-2	LK-21	LG-21012	[7.257151, 80.64573]
LG-21067	LG-21067	Yatinuwara PS	067	LK-2	LK-21	LG-21014	[7.285178, 80.538547]
LG-21068	LG-21068	Udunuwara PS	068	LK-2	LK-21	LG-21016	[7.222983, 80.560215]
LG-21069	LG-21069	Udapalatha PS	069	LK-2	LK-21	LG-21017	[7.145205, 80.630249]
LG-21070	LG-21070	Ganga Ihala Korale PS	070	LK-2	LK-21	LG-21020	[7.110976, 80.515356]
LG-21071	LG-21071	Pasbage Korale PS	071	LK-2	LK-21	LG-21021	[7.015276, 80.535972]
LG-22072	LG-22072	Dambulla MC	072	LK-2	LK-22	LG-22003	[7.860176, 80.656769]
LG-22073	LG-22073	Matale MC	073	LK-2	LK-22	LG-22008	[7.469703, 80.622932]
LG-22074	LG-22074	Pallepola PS	074	LK-2	LK-22	LG-22005	[7.646754, 80.598686]
LG-22075	LG-22075	Galewela PS	075	LK-2	LK-22	LG-22001	[7.778478, 80.571068]
LG-22076	LG-22076	Dambulla PS	076	LK-2	LK-22	LG-22002	[7.877606, 80.728389]
LG-22077	LG-22077	Ambanganga Korale PS	077	LK-2	LK-22	LG-22009	[7.561394, 80.677634]
LG-22078	LG-22078	Naula PS	078	LK-2	LK-22	LG-22004	[7.687969, 80.708133]
LG-22079	LG-22079	Laggala Pallegama PS	079	LK-2	LK-22	LG-22010	[7.55578, 80.813991]
LG-22080	LG-22080	Wilgamuwa PS	080	LK-2	LK-22	LG-22011	[7.607741, 80.9329]
LG-22081	LG-22081	Matale PS	081	LK-2	LK-22	LG-22007	[7.548171, 80.630247]
LG-22082	LG-22082	Yatawatta PS	082	LK-2	LK-22	LG-22006	[7.549687, 80.5889]
LG-22083	LG-22083	Ukuwela PS	083	LK-2	LK-22	LG-22013	[7.429036, 80.637575]
LG-22084	LG-22084	Rattota PS	084	LK-2	LK-22	LG-22012	[7.485898, 80.686088]
LG-23085	LG-23085	Nuwara Eliya MC	085	LK-2	LK-23	LG-23008	[6.964231, 80.775159]
LG-23086	LG-23086	Hatton Dickoya UC	086	LK-2	LK-23	LG-23011	[6.887967, 80.573226]
LG-23087	LG-23087	Thalawakele Lindula UC	087	LK-2	LK-23	LG-23007	[6.929344, 80.672213]
LG-23088	LG-23088	Maskeliya PS	088	LK-2	LK-23	LG-23010	[6.818886, 80.562205]
LG-23089	LG-23089	Norwood PS	089	LK-2	LK-23	LG-23012	[6.817397, 80.661171]
LG-23090	LG-23090	Ambagamuwa PS	090	LK-2	LK-23	LG-23009	[6.913756, 80.517276]
LG-23091	LG-23091	Agarapathana PS	091	LK-2	LK-23	LG-23005	[6.864287, 80.70951]
LG-23092	LG-23092	Kotagala PS	092	LK-2	LK-23	LG-23004	[6.945245, 80.638886]
LG-23093	LG-23093	Nuwaraeliya PS	093	LK-2	LK-23	LG-23006	[6.91439, 80.778661]
LG-23094	LG-23094	Kothmale PS	094	LK-2	LK-23	LG-23001	[7.039129, 80.65528]
LG-23095	LG-23095	Hanguranketha PS	095	LK-2	LK-23	LG-23002	[7.119636, 80.777991]
LG-23096	LG-23096	Walapane PS	096	LK-2	LK-23	LG-23003	[7.093551, 80.886836]
LG-31097	LG-31097	Galle MC	097	LK-3	LK-31	LG-31016	[6.048472, 80.215499]
LG-31098	LG-31098	Ambalangoda UC	098	LK-3	LK-31	LG-31011	[6.243161, 80.066273]
LG-31099	LG-31099	Hikkaduwa UC	099	LK-3	LK-31	LG-31014	[6.128471, 80.120963]
LG-31100	LG-31100	Balapitiya PS	100	LK-3	LK-31	LG-31002	[6.314061, 80.051154]
LG-31101	LG-31101	Ambalangoda PS	101	LK-3	LK-31	LG-31012	[6.19885, 80.11731]
LG-31102	LG-31102	Welivitiya Divithura PS	102	LK-3	LK-31	LG-31010	[6.20638, 80.180328]
LG-31103	LG-31103	Karandeniya PS	103	LK-3	LK-31	LG-31003	[6.301087, 80.100619]
LG-31104	LG-31104	Bentota PS	104	LK-3	LK-31	LG-31001	[6.386772, 80.055454]
LG-31105	LG-31105	Elpitiya PS	105	LK-3	LK-31	LG-31004	[6.290278, 80.18659]
LG-31106	LG-31106	Neluwa PS	106	LK-3	LK-31	LG-31007	[6.360284, 80.410713]
LG-31107	LG-31107	Thawalama PS	107	LK-3	LK-31	LG-31006	[6.292959, 80.355584]
LG-31108	LG-31108	Nagoda PS	108	LK-3	LK-31	LG-31008	[6.19974, 80.312901]
LG-31109	LG-31109	Niyagama PS	109	LK-3	LK-31	LG-31005	[6.302458, 80.252338]
LG-31110	LG-31110	Baddegama PS	110	LK-3	LK-31	LG-31009	[6.136858, 80.220557]
LG-31111	LG-31111	Yakkalamulla PS	111	LK-3	LK-31	LG-31018	[6.106636, 80.359402]
LG-31112	LG-31112	Rajgama PS	112	LK-3	LK-31	LG-31013	[6.143386, 80.122833]
LG-31113	LG-31113	Akmeemana PS	113	LK-3	LK-31	LG-31017	[6.059003, 80.283624]
LG-31114	LG-31114	Bope Poddala PS	114	LK-3	LK-31	LG-31015	[6.082467, 80.211859]
LG-31115	LG-31115	Imaduwa PS	115	LK-3	LK-31	LG-31019	[6.032726, 80.357797]
LG-31116	LG-31116	Habaraduwa PS	116	LK-3	LK-31	LG-31020	[6.001453, 80.320156]
