id	lg_id	name	code	province_id	district_id	_LEGACY_old_lg_id
LG-11001	LG-11001	Colombo MC	001	LK-1	LK-11	LG-11001
LG-11002	LG-11002	Dehiwala Mount Lavinia MC	002	LK-1	LK-11	LG-11010
LG-11003	LG-11003	Sri Jayawardenepura Kotte MC	003	LK-1	LK-11	LG-11009
LG-11004	LG-11004	Moratuwa MC	004	LK-1	LK-11	LG-11011
LG-11005	LG-11005	Kaduwela MC	005	LK-1	LK-11	LG-11004
LG-11006	LG-11006	Kollonnawa UC	006	LK-1	LK-11	LG-11002
LG-11007	LG-11007	Seethawakapura UC	007	LK-1	LK-11	LG-11007
LG-11008	LG-11008	Maharagama UC	008	LK-1	LK-11	LG-11008
LG-11009	LG-11009	Kesbewa UC	009	LK-1	LK-11	LG-11013
LG-11010	LG-11010	Boralesgamuwa UC	010	LK-1	LK-11	LG-11012
LG-11011	LG-11011	Kotikawatta Mulleriyawa PS	011	LK-1	LK-11	LG-11003
LG-11012	LG-11012	Seethawaka PS	012	LK-1	LK-11	LG-11006
LG-11013	LG-11013	Homagama PS	013	LK-1	LK-11	LG-11005
LG-12014	LG-12014	Negombo MC	014	LK-1	LK-12	LG-12001
LG-12015	LG-12015	Gampaha MC	015	LK-1	LK-12	LG-12013
LG-12016	LG-12016	Wattala Mabola UC	016	LK-1	LK-12	LG-12009
LG-12017	LG-12017	Katunayaka Seeduwa UC	017	LK-1	LK-12	LG-12003
LG-12018	LG-12018	Minuwangoda UC	018	LK-1	LK-12	LG-12007
LG-12019	LG-12019	Ja Ela UC	019	LK-1	LK-12	LG-12011
LG-12020	LG-12020	Peliyagoda UC	020	LK-1	LK-12	LG-12018
LG-12021	LG-12021	Wattala PS	021	LK-1	LK-12	LG-12008
LG-12022	LG-12022	Katana PS	022	LK-1	LK-12	LG-12002
LG-12023	LG-12023	Divulapitiya PS	023	LK-1	LK-12	LG-12004
LG-12024	LG-12024	Mirigama PS	024	LK-1	LK-12	LG-12005
LG-12025	LG-12025	Minuwangoda PS	025	LK-1	LK-12	LG-12006
LG-12026	LG-12026	Attanagalla PS	026	LK-1	LK-12	LG-12014
LG-12027	LG-12027	Gampaha PS	027	LK-1	LK-12	LG-12012
LG-12028	LG-12028	Ja Ela PS	028	LK-1	LK-12	LG-12010
LG-12029	LG-12029	Mahara PS	029	LK-1	LK-12	LG-12016
LG-12030	LG-12030	Dompe PS	030	LK-1	LK-12	LG-12015
LG-12031	LG-12031	Biyagama PS	031	LK-1	LK-12	LG-12019
LG-12032	LG-12032	Kelaniya PS	032	LK-1	LK-12	LG-12017
LG-13033	LG-13033	Panadura UC	033	LK-1	LK-13	LG-13002
LG-13034	LG-13034	Horana UC	034	LK-1	LK-13	LG-13005
LG-13035	LG-13035	Kalutara MC	035	LK-1	LK-13	LG-13010
LG-13036	LG-13036	Beruwala UC	036	LK-1	LK-13	LG-13012
LG-13037	LG-13037	Panadura PS	037	LK-1	LK-13	LG-13001
LG-13038	LG-13038	Bandaragama PS	038	LK-1	LK-13	LG-13003
LG-13039	LG-13039	Horana PS	039	LK-1	LK-13	LG-13004
LG-13040	LG-13040	Madurawala PS	040	LK-1	LK-13	LG-13007
LG-13041	LG-13041	Bulathsinhala PS	041	LK-1	LK-13	LG-13006
LG-13042	LG-13042	Mathugama PS	042	LK-1	LK-13	LG-13014
LG-13043	LG-13043	Dodangoda PS	043	LK-1	LK-13	LG-13013
LG-13044	LG-13044	Kalutara PS	044	LK-1	LK-13	LG-13009
LG-13045	LG-13045	Beruwala PS	045	LK-1	LK-13	LG-13011
LG-13046	LG-13046	Palindanuwara PS	046	LK-1	LK-13	LG-13016
LG-13047	LG-13047	Agalawaththa PS	047	LK-1	LK-13	LG-13015
LG-13048	LG-13048	Millaniya PS	048	LK-1	LK-13	LG-13008
LG-13049	LG-13049	Walallawita PS	049	LK-1	LK-13	LG-13017
LG-21050	LG-21050	Kandy MC	050	LK-2	LK-21	LG-21006
LG-21051	LG-21051	Wattegama UC	051	LK-2	LK-21	LG-21005
LG-21052	LG-21052	Kadugannawa UC	052	LK-2	LK-21	LG-21015
LG-21053	LG-21053	Gampola UC	053	LK-2	LK-21	LG-21019
LG-21054	LG-21054	Nawalapitiya UC	054	LK-2	LK-21	LG-21022
LG-21055	LG-21055	Thumpane PS	055	LK-2	LK-21	LG-21001
LG-21056	LG-21056	Harispattuwa PS	056	LK-2	LK-21	LG-21013
LG-21057	LG-21057	Akurana PS	057	LK-2	LK-21	LG-21003
LG-21058	LG-21058	Poojapitiya PS	058	LK-2	LK-21	LG-21002
LG-21059	LG-21059	Pathadumbara PS	059	LK-2	LK-21	LG-21004
LG-21060	LG-21060	Panwila PS	060	LK-2	LK-21	LG-21007
LG-21061	LG-21061	Udadumbara PS	061	LK-2	LK-21	LG-21008
LG-21062	LG-21062	Minipe PS	062	LK-2	LK-21	LG-21009
LG-21063	LG-21063	Medadumbara PS	063	LK-2	LK-21	LG-21010
LG-21064	LG-21064	Kundasale PS	064	LK-2	LK-21	LG-21011
LG-21065	LG-21065	Pathahewaheta PS	065	LK-2	LK-21	LG-21018
